species	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Bistorta_vivipara	dcBisVivi1	2	31	97.3442	97.7597	2.24033	2.65583	NA	3524446962	3007293493	3109107864	459445701	475000609	38.0034	82.3662	0.16966	0.16966
Bistorta_vivipara	dcBisVivi3	4	31	NA	NA	NA	NA	NA	1116003307	650542446	961643440	284941905	421206204	67.443	92.2127	0.2256	0.2256
Blitum_bonus_henricus	dcBliBonu1	2	31	99.8579	99.8808	0.119225	0.142122	NA	1237613482	626516343	627450827	610175529	611085639	82.885	98.21	0.0833857	0.0833857
Borago_officinalis	daBorOffi1	2	31	99.5804	99.8874	0.112579	0.419616	NA	1456356595	1003155480	1009603622	448550382	451433601	69.6905	97.9007	0.100837	0.100837
Brassica_napus	ddBraNapu1	4	31	NA	NA	NA	NA	NA	246868868	126938149	127131000	119743476	119925397	85.087	87.6387	0.101824	0.101824
Brassica_nigra	ddBraNigr2	2	31	98.2259	98.2852	1.71479	1.7741	NA	455322451	194663352	197208180	257721296	261090479	80.2575	96.0766	0.107203	0.107203
Brassica_oleracea	ddBraOler1	2	31	97.9975	99.6355	0.364467	2.00253	NA	246077	4053	5417	211041	282074	68.0813	69.7138	5.45463	5.45463
Bryonia_dioica	ddBryDioi1	2	31	99.5714	99.6219	0.378082	0.428609	NA	1512030209	1156181760	1162271678	351887181	353740665	65.4641	94.0332	0.0696811	0.0696811
Buddleja_davidii	daBudDavi1	4	31	NA	NA	NA	NA	NA	665915584	313281611	316788347	348948247	352854220	80.3558	97.3186	0.134017	0.134017
Buxus_sempervirens	drBuxSemp1	2	31	98.444	98.5169	1.48312	1.55604	NA	671098776	333948400	335843376	335257059	337159461	57.3728	97.4337	0.244677	0.244677
Cakile_maritima	ddCakMari1	2	31	99.0846	99.1514	0.848566	0.915377	NA	924893925	599741044	607234202	319446371	323437530	72.0154	94.0729	0.599609	0.599609
Calendula_officinalis	daCalOffi1	2	31	85.0868	100	0	14.9132	NA	721745704	468448626	469990233	252113385	252943060	74.4366	85.7333	0.196316	0.196316
Callitriche_obtusangula	daCalObtu1	2	31	99.8924	99.935	0.0650365	0.107574	NA	1672762499	873871849	876618705	796269877	798772806	74.2588	97.6013	0.287362	0.287362
Calluna_vulgaris	ddCalVulg4	2	31	98.5281	98.5512	1.44878	1.4719	NA	543524081	240044323	240616374	302833660	303555345	83.3981	96.7865	0.159675	0.159675
Caltha_palustris	dmCalPalu1	2	31	96.4406	97.1612	2.83875	3.55936	NA	6428987062	5336559250	5579228707	952612895	995931079	53.9788	91.348	0.525479	0.525479
Calystegia_pulchra	daCalPulh1	2	31	97.0315	97.1181	2.8819	2.96851	NA	738332571	456661694	459131445	279685065	281197678	71.6856	92.0369	1.80406	1.80406
Calystegia_sepium	daCalSepi1	2	31	98.6811	98.8828	1.11724	1.31886	NA	601554695	330701373	343129008	259959603	269728788	75.1676	96.4641	0.167075	0.167075
Calystegia_soldanella	daCalSold1	2	31	99.5724	99.5998	0.400164	0.427628	NA	653764112	349666018	350958234	302894525	304013894	84.3049	98.5336	0.093674	0.093674
Campanula_glomerata	daCamGlom1	2	31	98.0987	98.1899	1.81007	1.9013	NA	2596080143	1834235418	1855903385	746689901	755510607	58.8058	88.7507	0.364185	0.364185
Campanula_medium	daCamMedi1	2	31	98.9653	99.1927	0.807288	1.03468	NA	1715577677	1216837130	1228722408	490443263	495233596	64.323	97.1482	0.171047	0.171047
Campanula_patula	daCamPatu1	2	31	99.2404	99.275	0.724979	0.759609	NA	1088302265	622826306	625001509	463582141	465201188	78.2557	89.9447	0.0834317	0.0834317
Campanula_rotundifolia	daCamRotu1	2	31	96.9194	97.7137	2.28632	3.08059	NA	42165212	35641631	38084618	5171210	5525661	41.3599	80.9421	2.57559	2.57559
Capsella_bursa_pastoris	ddCapBurs4	2	31	95.82	95.8916	4.10836	4.17997	NA	175816810	67286845	67392690	108391898	108562404	90.9719	93.0813	0.110307	0.110307
Cardamine_amara	ddCarAmar1	2	31	98.9506	98.9705	1.02949	1.04945	NA	217241142	81639615	81799508	135389207	135654371	82.0774	95.8524	0.212407	0.212407
Cardamine_bulbifera	ddCarBulb1	2	31	96.6556	99.04	0.959978	3.34444	NA	576715691	513377434	568540216	35360253	39159738	70.2356	84.9056	0.462462	0.462462
Cardamine_flexuosa	ddCarFlex1	2	31	99.9812	100	0	0.0187612	NA	229749159	59538096	59782286	169741840	170438021	86.4288	91.5178	0.115509	0.115509
Cardamine_hirsuta	ddCarHirs1	2	31	99.9704	99.983	0.0170113	0.0295851	NA	233391661	67406735	67467522	165879784	166029375	88.7365	95.3976	0.223478	0.223478
Cardamine_pratensis	ddCarPrat1	4	31	NA	NA	NA	NA	NA	325099873	175536449	178390289	146962994	149352292	79.0511	94.1279	0.150158	0.150158
Cardamine_raphanifolia	ddCarRaph1	6	31	NA	NA	NA	NA	NA	597894951	351932505	366240584	234283336	243808301	66.6814	78.2324	0.0893471	0.0893471
Carduus_crispus	daCarCris1	2	31	99.3533	99.424	0.576008	0.646692	NA	807649686	425247776	427423510	380346302	382292302	75.2723	96.5495	0.208943	0.208943
Carduus_nutans	daCarNuta1	2	31	99.2122	99.2517	0.748309	0.787756	NA	977521871	581226434	584051623	393931190	395845986	75.0699	95.9971	0.50892	0.50892
Carduus_tenuiflorus	daCarTenu1	2	31	93.1595	96.2288	3.7712	6.84049	NA	1239622168	898049107	918789546	327581659	335147155	53.3593	83.1843	0.509284	0.509284
Carlina_vulgaris	daCarVulg1	2	31	99.7364	100	0	0.263638	NA	3867732159	2421217560	2438610117	1432721957	1443013762	66.5394	96.9171	0.1003	0.1003
Carpinus_betulus	dhCarBetu1	2	31	97.8983	98.3028	1.69724	2.10167	NA	1460411563	1234189558	1275858753	202373686	209206306	37.0703	80.8713	0.137863	0.137863
Carpobrotus_edulis	dcCarEdul1	2	31	98.53	98.5845	1.41552	1.47001	NA	926272234	603518305	609458969	318239538	321372093	68.395	97.2405	0.110586	0.110586
Castanea_sativa	dhCasSati1	2	31	98.953	99.0312	0.968758	1.04704	NA	758652834	276895014	277867566	480430156	482117595	84.4286	98.3875	0.159445	0.159445
Centaurea_cyanus	daCenCyan1	2	31	98.8121	98.8472	1.15279	1.18787	NA	717377776	399382974	400772546	316751143	317853215	77.1279	98.305	0.0593608	0.0593608
Centaurea_nigra	daCenNigr1	4	31	NA	NA	NA	NA	NA	891678158	514261615	517065431	374998957	377043496	78.8251	93.6272	0.108705	0.108705
Centaurium_erythraea	daCenEryt1	2	31	99.8593	100	0	0.140692	NA	970626940	512084399	515462727	455361810	458365927	77.8017	94.0867	0.247644	0.247644
Centaurium_intermedium	daCenInte1	2	31	95.1495	95.8152	4.18475	4.85049	NA	799197044	541933044	544576280	255324450	256569775	77.515	93.8016	0.143734	0.143734
Centranthus_ruber	daCenRube1	2	31	99.7458	99.7648	0.235211	0.254197	NA	540763596	333098196	333677621	207195887	207556305	84.4667	96.6302	0.0562389	0.0562389
Cerastium_alpinum	dcCerAlpi1	2	31	92.7639	95.6385	4.36153	7.23614	NA	833285678	559860108	561834335	271961531	272920545	70.3306	88.0422	0.231372	0.231372
Cerastium_arvense	dcCerArve1	4	31	NA	NA	NA	NA	NA	619983928	343961365	345417920	274715392	275878715	79.1733	90.2447	0.112463	0.112463
Cerastium_diffusum	dcCerDiff1	2	31	90.4526	96.6235	3.37648	9.54737	NA	514672465	315522776	321472974	194386609	198052395	63.0123	87.0576	0.335263	0.335263
Cerastium_fontanum	dcCerFont2	2	31	96.7913	97.4119	2.5881	3.20869	NA	32269790	26798111	28136062	4704418	4939296	27.9119	86.7054	3.22797	3.22797
Cerastium_fontanum	dcCerFont3	2	31	94.9576	96.3238	3.6762	5.04243	NA	2243395914	1602093703	1615314761	632121317	637337811	67.3564	80.4314	0.246694	0.246694
Cerastium_glomeratum	dcCerGlom1	2	31	86.5746	98.1024	1.89763	13.4254	NA	380055231	157998076	158220242	221790327	222102193	86.4474	91.4752	0.194822	0.194822
Cerastium_semidecandrum	dcCerSemi1	2	31	99.9427	99.9759	0.0241365	0.0573429	NA	542478039	262519516	263118226	279341334	279978408	77.6609	86.2034	0.135749	0.135749
Cerastium_tomentosum	dcCerTome1	2	31	95.6137	98.1385	1.8615	4.38634	NA	17590	14185	15811	2500	2787	46.3491	78.4622	7.23601	7.23601
Ceratocapnos_claviculata	dmCerClav1	2	31	99.725	99.7848	0.215195	0.275045	NA	279642257	90070055	90637878	188696260	189885844	76.2587	79.915	0.100326	0.100326
Ceratophyllum_demersum	dmCerDeme1	2	31	99.6169	99.6492	0.350848	0.383051	NA	510449511	231496880	232311217	278057974	279036098	78.484	97.2289	1.06898	1.06898
Chaenorhinum_minus	daChaMinu2	2	31	99.9187	99.9374	0.0626149	0.081302	NA	433445726	178257578	178553880	254828506	255252086	83.0814	96.0943	0.141227	0.141227
Chaenorhinum_minus	daChaMinu3	2	31	99.8209	99.845	0.154954	0.179128	NA	438861323	189186681	189603084	249192732	249741210	83.2667	95.9226	0.146486	0.146486
Chaerophyllum_temulum	drChaTemu1	2	31	99.701	100	0	0.298982	NA	2167241220	1585237163	1599882887	572084326	577369711	59.6077	96.2921	0.0967606	0.0967606
Chamaemelum_nobile	daChaNobi1	2	31	98.2583	98.3454	1.65465	1.74169	NA	4277989168	2957947164	2986826482	1299360285	1312046326	64.0753	96.8741	0.131425	0.131425
Chamaenerion_angustifolium	drChaAngu1	2	31	98.1876	98.2147	1.78531	1.81239	NA	726939838	400908319	402036308	325011735	325926182	54.7307	98.0728	0.177524	0.177524
Chelidonium_majus	dmCheMaju1	2	31	99.7661	99.8454	0.154584	0.233891	NA	1055659619	585571066	587166291	468654534	469931253	73.562	94.9343	0.113071	0.113071
Chenopodium_album	dcCheAlbu1	2	31	89.8295	96.9896	3.01037	10.1705	NA	877760056	500142102	502571033	375496843	377320436	69.143	87.45	0.140273	0.140273
Chrysosplenium_alternifolium	drChrAlte1	6	31	NA	NA	NA	NA	NA	610635745	447104154	454227547	158743463	161272610	84.6564	95.1438	0.284823	0.284823
Cicerbita_alpina	daCicAlpi1	2	31	96.7262	97.6338	2.36617	3.27379	NA	91944521	76713873	82145786	12190719	13053913	41.6645	85.2091	2.30186	2.30186
Cicerbita_macrophylla	daCicMacr1	2	31	96.6998	97.5896	2.41043	3.30018	NA	98691486	82961511	88960078	12402598	13299373	41.9018	85.6353	2.45388	2.45388
Cicerbita_muralis	daCicMura1	2	31	96.9026	97.6675	2.33254	3.09744	NA	19157136	16695262	17588362	1975495	2081172	23.3893	86.8038	3.11931	3.11931
Cichorium_intybus	daCicInty1	2	31	98.9919	99.1629	0.837068	1.00808	NA	348388	140835	143807	203953	208257	60.7855	68.4394	5.02323	5.02323
Cicuta_virosa	drCicViro1	2	31	99.7629	99.7844	0.215591	0.237089	NA	978036630	598813752	599580094	378597849	379082366	83.0157	93.9762	0.0740064	0.0740064
Circaea_lutetiana	drCirLute1	2	31	99.5278	99.5918	0.408242	0.472232	NA	508714573	226556315	228518034	279974720	282398982	75.3467	92.4534	0.164302	0.164302
Cirsium_acaule	daCirAcau1	2	31	99.0309	99.0642	0.93579	0.969123	NA	1230914507	754921103	757556984	473851952	475506453	76.1265	95.3944	0.106003	0.106003
Cirsium_arvense	daCirArve1	2	31	98.5677	98.6014	1.39857	1.43235	NA	1351337085	814931634	817353649	534403283	535991554	74.6384	95.4008	0.116564	0.116564
Cirsium_dissectum	daCirDiss1	2	31	98.847	98.9028	1.0972	1.15303	NA	1197068929	734171484	738079731	459728112	462175402	72.9134	97.8866	0.101429	0.101429
Cirsium_eriophorum	daCirErio1	2	31	99.763	99.8477	0.152279	0.237031	NA	1701627374	1136234432	1140584292	562148183	564300263	67.9074	97.37	0.0527353	0.0527353
Cirsium_heterophyllum	daCirHete1	2	31	98.9565	99.0423	0.957658	1.04348	NA	923229218	473580097	476477070	446842511	449575926	72.2963	97.8128	0.130503	0.130503
Claytonia_perfoliata	dcClaPerf1	2	31	97.3633	97.5084	2.4916	2.63674	NA	659263914	410236276	428103561	235270153	245517026	65.4702	85.5996	0.666272	0.666272
Claytonia_sibirica	dcClaSibi1	2	31	98.431	98.4765	1.52349	1.56897	NA	1650389664	1151453097	1156280737	495491258	497568680	69.7784	95.8715	0.166704	0.166704
Clematis_vitalba	dmCleVita1	2	31	99.7407	99.9141	0.085928	0.259322	NA	8585674333	4367363686	4384501406	4201531215	4218018202	73.7226	98.437	0.0972158	0.0972158
Clematis_viticella	dmCleVitc1	2	31	96.4083	97.2148	2.78519	3.59166	NA	94346709	74951499	78786473	17099021	17973911	50.1301	88.2768	4.36709	4.36709
Clinopodium_vulgare	daCliVulg1	2	31	99.223	99.2891	0.710866	0.776961	NA	360231982	167284796	168630725	191509587	193050423	70.2353	88.8271	0.159798	0.159798
Cochlearia_danica	ddCocDani1	2	31	95.5341	95.8224	4.17764	4.46595	NA	348762846	234983653	236033624	113003475	113508406	78.5605	84.1913	0.0888428	0.0888428
Cochlearia_officinalis	ddCocOffi1	2	31	88.8354	99.1574	0.842621	11.1646	NA	139535304	105653419	109555526	31396927	32556512	43.5453	77.9695	0.830751	0.830751
