insects 	 Abrostola_tripartita 	 released
insects 	 Griposia_aprilina 	 released
insects 	 Gymnosoma_rotundatum 	 released
insects 	 Habrosyne_pyritoides 	 released
insects 	 Harmonia_axyridis 	 released
insects 	 Hecatera_dysodea 	 released
insects 	 Hedya_salicella 	 released
insects 	 Hemaris_fuciformis 	 released
insects 	 Hesperia_comma 	 released
insects 	 Hydraecia_micacea 	 released
insects 	 Hydriomena_furcata 	 released
insects 	 Hylaea_fasciaria 	 released
insects 	 Hypena_proboscidalis 	 released
insects 	 Ichneumon_xanthorius 	 released
insects 	 Idaea_aversata 	 released
insects 	 Inachis_io 	 released
insects 	 Laothoe_populi 	 released
insects 	 Lasioglossum_lativentre 	 released
insects 	 Lasioglossum_morio 	 released
insects 	 Laspeyria_flexula 	 released
insects 	 Leptidea_sinapis 	 released
insects 	 Limenitis_camilla 	 released
insects 	 Limnephilus_lunatus 	 released
insects 	 Limnephilus_marmoratus 	 released
insects 	 Lycaena_phlaeas 	 released
insects 	 Lymantria_monacha 	 released
insects 	 Lysandra_bellargus 	 released
insects 	 Lysandra_coridon 	 released
insects 	 Macropis_europaea 	 released
insects 	 Malachius_bipustulatus 	 released
insects 	 Mamestra_brassicae 	 released
insects 	 Maniola_jurtina 	 released
insects 	 Melanargia_galathea 	 released
insects 	 Melanostoma_mellinum 	 released
insects 	 Melitaea_cinxia 	 released
insects 	 Mellicta_athalia 	 released
insects 	 Mesoligia_furuncula 	 released
insects 	 Mimas_tiliae 	 released
insects 	 Mimumesa_dahlbomi 	 released
insects 	 Mythimna_ferrago 	 released
insects 	 Mythimna_impura 	 released
insects 	 Noctua_fimbriata 	 released
insects 	 Noctua_janthe 	 released
insects 	 Noctua_pronuba 	 released
insects 	 Nomada_fabriciana 	 released
insects 	 Notocelia_uddmanniana 	 released
insects 	 Notodonta_dromedarius 	 released
insects 	 Notodonta_ziczac 	 released
insects 	 Nymphalis_polychloros 	 released
insects 	 Nymphalis_urticae 	 released
insects 	 Nysson_spinosus 	 released
insects 	 Ochlodes_sylvanus 	 released
insects 	 Ochropleura_plecta 	 released
insects 	 Ocypus_olens 	 released
insects 	 Omphaloscelis_lunosa 	 released
insects 	 Orgyia_antiqua 	 released
insects 	 Pammene_fasciana 	 released
insects 	 Parapoynx_stratiotata 	 released
insects 	 Pararge_aegeria 	 released
insects 	 Peribatodes_rhomboidaria 	 released
insects 	 Phalera_bucephala 	 released
insects 	 Pheosia_gnoma 	 released
insects 	 Pheosia_tremula 	 released
insects 	 Philereme_vetulata 	 released
insects 	 Phlogophora_meticulosa 	 released
insects 	 Pieris_brassicae 	 released
insects 	 Pieris_napi 	 released
insects 	 Platycheirus_albimanus 	 released
insects 	 Plebejus_argus 	 released
insects 	 Pterostichus_madidus 	 released
insects 	 Ptilodon_capucinus 	 released
insects 	 Pyrgus_malvae 	 released
insects 	 Pyrochroa_serraticornis 	 released
insects 	 Rhagonycha_fulva 	 released
insects 	 Scaeva_pyrastri 	 released
insects 	 Schrankia_costaestrigalis 	 released
insects 	 Seladonia_tumulorum 	 released
insects 	 Selenia_dentaria 	 released
insects 	 Sesia_apiformis 	 released
insects 	 Sphecodes_monilicornis 	 released
insects 	 Spilarctia_lutea 	 released
insects 	 Spilosoma_lubricipeda 	 released
insects 	 Synanthedon_vespiformis 	 released
insects 	 Syritta_pipiens 	 released
insects 	 Tachina_fera 	 released
insects 	 Tenthredo_notha 	 released
insects 	 Thecocarcelia_acutangulata 	 released
insects 	 Thyatira_batis 	 released
insects 	 Thymelicus_sylvestris 	 released
insects 	 Tinea_semifulvella 	 released
insects 	 Tinea_trinotella 	 released
insects 	 Vanessa_atalanta 	 released
insects 	 Vanessa_cardui 	 released
insects 	 Vespa_crabro 	 released
insects 	 Vespa_velutina 	 released
insects 	 Vespula_germanica 	 released
insects 	 Vespula_vulgaris 	 released
insects 	 Volucella_inanis 	 released
insects 	 Xanthogramma_pedissequum 	 released
insects 	 Xestia_c-nigrum 	 released
insects 	 Xestia_xanthographa 	 released
insects 	 Xylota_sylvarum 	 released
insects 	 Ypsolopha_scabrella 	 released
insects 	 Zeuzera_pyrina 	 released
insects 	 Zygaena_filipendulae 	 released
