species	assembly	level	assembly_length	assembly_ungapped_length	tolid	p	k	Homozygous_aa_min	Homozygous_aa_max	Heterozygous_ab_min	Heterozygous_ab_max	Genome_Haploid_Length_min_bp	Genome_Haploid_Length_max_bp	Genome_Repeat_Length_min_bp	Genome_Repeat_Length_max_bp	Genome_Unique_Length_min_bp	Genome_Unique_Length_max_bp	Model_Fit_min_percent	Model_Fit_max_percent	Read_Error_Rate_min_percent	Read_Error_Rate_max_percent
Ajuga chamaepitys	daAjuCham1.1	Chromosome	891563074	891515274	daAjuCham1	2	31	99.9211	99.9497	0.0502629	0.078852	990455959	992260270	462327396	463169617	528128563	529090654	79.8015	97.3172	0.139035	0.139035
Ajuga reptans	daAjuRept1.hap1.1	Chromosome	984048775	983953775	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803
Ajuga reptans	daAjuRept1.hap1.2	Chromosome	984048775	983953775	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803
Ajuga reptans	daAjuRept1.hap2.1	Scaffold	958490305	958403105	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803
Ajuga reptans	daAjuRept1.hap2.2	Scaffold	958490305	958403105	daAjuRept1	2	31	99.1427	99.1855	0.814492	0.857294	1011608475	1016159835	650336527	653262477	361271948	362897358	71.9908	94.5982	0.159803	0.159803
Alisma plantago aquatica	laAliPlan1.1 alternate haplotype	Contig	168507919	168507919	laAliPlan1	2	31	99.7726	100	0	0.227409	9530994043	9586986206	4780964038	4809050984	4750030005	4777935222	74.9251	99.1522	0.0947719	0.0947719
Alisma plantago aquatica	laAliPlan1.1	Chromosome	9377969683	9377919883	laAliPlan1	2	31	99.7726	100	0	0.227409	9530994043	9586986206	4780964038	4809050984	4750030005	4777935222	74.9251	99.1522	0.0947719	0.0947719
Alnus cordata	dhAlnCord1.hap1.1	Chromosome	468521507	468442692	dhAlnCord1	2	31	99.2532	99.5278	0.472185	0.746751	489415918	493137248	161024932	162249304	328390985	330887944	83.8919	98.6067	0.140336	0.140336
Alnus cordata	dhAlnCord1.hap2.1	Scaffold	468513655	468434855	dhAlnCord1	2	31	99.2532	99.5278	0.472185	0.746751	489415918	493137248	161024932	162249304	328390985	330887944	83.8919	98.6067	0.140336	0.140336
Alnus glutinosa	dhAlnGlut1.1 alternate haplotype	Scaffold	450406790	450406773	dhAlnGlut1	2	31	98.798	98.8303	1.1697	1.20198	476280833	477838179	162485011	163016306	313795821	314821873	82.1701	97.8886	0.190517	0.190517
Alnus glutinosa	dhAlnGlut1.1	Chromosome	456761304	456738804	dhAlnGlut1	2	31	98.798	98.8303	1.1697	1.20198	476280833	477838179	162485011	163016306	313795821	314821873	82.1701	97.8886	0.190517	0.190517
Alnus incana	dhAlnInca1.hap1.1	Chromosome	514978156	514923756	dhAlnInca1	2	31	99.0141	99.0359	0.964055	0.98595	593715101	595503523	280570938	281416090	313144163	314087433	84.4605	96.8715	0.104341	0.104341
Alnus incana	dhAlnInca1.hap2.1	Scaffold	520084815	520042215	dhAlnInca1	2	31	99.0141	99.0359	0.964055	0.98595	593715101	595503523	280570938	281416090	313144163	314087433	84.4605	96.8715	0.104341	0.104341
Alopecurus geniculatus	lpAloGeni1.hap2.1	Scaffold	6259991596	6259649596	lpAloGeni1	2	31	99.577	99.6086	0.391415	0.422986	6287068534	6303693034	4012827114	4023437980	2274241421	2280255054	74.1698	94.8669	0.0749653	0.0749653
Alopecurus geniculatus	lpAloGeni1.hap1.1	Chromosome	6196785535	6196446535	lpAloGeni1	2	31	99.577	99.6086	0.391415	0.422986	6287068534	6303693034	4012827114	4023437980	2274241421	2280255054	74.1698	94.8669	0.0749653	0.0749653
Ammi majus	drAmmMaju1.hap1.1	Chromosome	926431048	926158448	drAmmMaju1	2	31	98.3462	98.3778	1.62216	1.65377	925058354	927542612	515956198	517341806	409102156	410200806	80.0924	95.9921	0.085245	0.085245
Ammi majus	drAmmMaju1.hap2.1	Chromosome	919409987	919148387	drAmmMaju1	2	31	98.3462	98.3778	1.62216	1.65377	925058354	927542612	515956198	517341806	409102156	410200806	80.0924	95.9921	0.085245	0.085245
Amphidium lapponicum	cbAmpLapp4.1	Chromosome	266073107	266021507	cbAmpLapp4	2	31	69.6311	100	0	30.3689	135395936	136122032	38418060	38624087	96977876	97497945	81.0383	87.0776	1.89188	1.89188
Amphidium mougeotii	cbAmpMoug5.1	Chromosome	272102194	272021994	cbAmpMoug5	2	31	99.8571	99.8792	0.120761	0.142858	262948861	263482074	50628450	50731116	212320411	212750958	87.2273	94.0632	0.439658	0.439658
Anagallis arvensis	ddAnaArve1.hap1.1	Chromosome	1100742143	1100680543	ddAnaArve1	2	31	99.5931	99.6302	0.369784	0.406856	1195009809	1200544410	606825038	609635504	588184771	590908906	79.0565	93.578	0.143723	0.143723
Anagallis arvensis	ddAnaArve1.hap2.1	Scaffold	1021350632	1021297232	ddAnaArve1	2	31	99.5931	99.6302	0.369784	0.406856	1195009809	1200544410	606825038	609635504	588184771	590908906	79.0565	93.578	0.143723	0.143723
Anastrepta orcadensis	cjAnaOrca4.1	Chromosome	601899852	601871852	cjAnaOrca4	2	31	99.5936	99.8186	0.181369	0.406403	613703696	617025150	246076949	247408754	367626746	369616397	76.3348	98.2747	0.431382	0.431382
Anastrophyllum donnianum	cjAnaDonn2.1	Chromosome	688377270	688323135	cjAnaDonn2	2	31	99.5712	99.7856	0.214361	0.42878	670277541	675562270	350604178	353368478	319673363	322193793	68.8779	97.853	0.482009	0.482009
Andreaea frigida	caAndFrig2.1	Chromosome	238337626	238226427	caAndFrig2	2	31	99.0848	99.1308	0.869179	0.915192	363022728	364137122	115211653	115565325	247811075	248571797	87.608	97.518	1.30272	1.30272
Andreaea hookeri	caAndHook4.1	Chromosome	210592715	210481915	caAndHook4	1	31					228232152	229997147	66121891	66633233	162110261	163363914	81.6873	96.002	2.01903	2.01903
Andreaea hookeri	caAndHook4.2	Chromosome	210592715	210481915	caAndHook4	1	31					228232152	229997147	66121891	66633233	162110261	163363914	81.6873	96.002	2.01903	2.01903
Andreaea mutabilis	caAndMuta2.1	Chromosome	202283538	202243638	caAndMuta2	2	31	99.3322	99.4651	0.534891	0.66776	372598825	375703078	134798005	135921055	237800820	239782023	77.221	97.9318	1.04847	1.04847
Andreaea nivalis	caAndNiva3.1	Chromosome	253467390	253304290	caAndNiva3	1	31					170192157	175811979	83571083	86330638	86621075	89481342	51.4145	74.5892	3.83891	3.83891
Andreaea nivalis	caAndNiva3.2	Chromosome	253467390	253304290	caAndNiva3	1	31					170192157	175811979	83571083	86330638	86621075	89481342	51.4145	74.5892	3.83891	3.83891
Andreaea rothii	caAndRoth3.1	Chromosome	239642140	239565696	caAndRoth3	2	31	99.5117	99.5437	0.456276	0.488314	249992291	250419374	71317111	71438948	178675180	178980426	85.411	95.9436	1.28153	1.28153
Anoectangium aestivum	cbAnoAest3.1	Chromosome	261426670	261322870	cbAnoAest3	1	31					233797551	234489406	55295772	55459404	178501778	179030002	81.229	93.343	0.634315	0.634315
Anomodon viticulosus	cbAnoViti19.1	Chromosome	365306794	365293194	cbAnoViti19	1	31					354303851	354771725	90114081	90233081	264189770	264538645	86.2322	95.7041	0.692853	0.692853
Anomodon viticulosus	cbAnoViti19.1	Chromosome	365306794	365293194	cbAnoViti1	1	31					578179409	582715500	381938801	384935292	196240608	197780208	79.3338	94.2971	0.241069	0.241069
Anthyllis vulneraria	drAntVuln1.hap1.1	Chromosome	334471635	334432218	drAntVuln1	2	31	99.4088	99.4286	0.57137	0.591245	350555261	351392024	174552598	174969249	176002663	176422775	86.2841	97.3349	0.118502	0.118502
Anthyllis vulneraria	drAntVuln1.hap2.1	Scaffold	342591967	342550367	drAntVuln1	2	31	99.4088	99.4286	0.57137	0.591245	350555261	351392024	174552598	174969249	176002663	176422775	86.2841	97.3349	0.118502	0.118502
Antitrichia curtipendula	cbAntCurt1.1	Chromosome	400507149	400312549	cbAntCurt1	2	31	17.0901	100	0	82.9099	180594004	181233491	55792702	55990265	124801302	125243225	82.4294	87.5924	0.707127	0.707127
Aponogeton distachyos	laApoDist1.hap2.1	Chromosome	4498624888	4498424888	laApoDist1	2	31	99.6613	99.7165	0.283489	0.338699	4545641555	4567190367	3454037118	3470411131	1091604437	1096779236	64.2732	94.2123	0.100535	0.100535
Aponogeton distachyos	laApoDist1.hap1.1	Chromosome	4442329043	4442135643	laApoDist1	2	31	99.6613	99.7165	0.283489	0.338699	4545641555	4567190367	3454037118	3470411131	1091604437	1096779236	64.2732	94.2123	0.100535	0.100535
Aquilegia vulgaris	dmAquVulg1.hap1.1	Chromosome	296097868	296011268	dmAquVulg1	2	31	99.6042	99.6365	0.363537	0.395844	321636896	322772003	145341318	145854251	176295578	176917753	78.4961	92.7324	0.113367	0.113367
Aquilegia vulgaris	dmAquVulg1.hap2.1	Chromosome	289223514	289149314	dmAquVulg1	2	31	99.6042	99.6365	0.363537	0.395844	321636896	322772003	145341318	145854251	176295578	176917753	78.4961	92.7324	0.113367	0.113367
Arabidopsis thaliana	ddAraThal4.1 alternate haplotype	Contig	840519	840519	ddAraThal4	2	31	0	100	0	100	78335635	78408048	24670704	24693510	53664931	53714539	89.2013	93.6048	0.414551	0.414551
Arabidopsis thaliana	ddAraThal4.1	Chromosome	138312271	138304671	ddAraThal4	2	31	0	100	0	100	78335635	78408048	24670704	24693510	53664931	53714539	89.2013	93.6048	0.414551	0.414551
Arabis hirsuta	ddAraHirs1.hap1.1	Chromosome	582665844	582584244	ddAraHirs1	2	31	90.7271	95.5212	4.47881	9.27289	318128173	318744876	151630644	151924585	166497529	166820291	79.8215	92.8419	0.132859	0.132859
Arabis hirsuta	ddAraHirs1.hap2.1	Scaffold	576854027	576794627	ddAraHirs1	2	31	90.7271	95.5212	4.47881	9.27289	318128173	318744876	151630644	151924585	166497529	166820291	79.8215	92.8419	0.132859	0.132859
Arctium minus	daArcMinu1.1 alternate haplotype	Contig	465430802	465430802	daArcMinu1	2	31	84.6399	100	0	15.3601	1122275040	1129292048	712848850	717305926	409426190	411986122	56.3573	80.9657	0.652733	0.652733
Arctium minus	daArcMinu1.1	Chromosome	1903063616	1903060816	daArcMinu1	2	31	84.6399	100	0	15.3601	1122275040	1129292048	712848850	717305926	409426190	411986122	56.3573	80.9657	0.652733	0.652733
Arenaria serpyllifolia	dcAreSerp1.hap1.1	Chromosome	726254524	726217924	dcAreSerp1	2	31	95.0859	95.2686	4.73138	4.91413	372115607	372755164	155879347	156147257	216236260	216607907	85.7444	89.7145	0.178725	0.178725
Arenaria serpyllifolia	dcAreSerp1.hap2.1	Scaffold	713024767	712997767	dcAreSerp1	2	31	95.0859	95.2686	4.73138	4.91413	372115607	372755164	155879347	156147257	216236260	216607907	85.7444	89.7145	0.178725	0.178725
Armoracia rusticana	ddArmRust1.hap1.1	Chromosome	605901571	605827171	ddArmRust1	2	31	99.2516	99.2744	0.725643	0.748373	666837988	668249987	350485291	351227427	316352697	317022560	80.7967	96.6584	0.186805	0.186805
Armoracia rusticana	ddArmRust1.hap2.1	Chromosome	589750271	589682071	ddArmRust1	2	31	99.2516	99.2744	0.725643	0.748373	666837988	668249987	350485291	351227427	316352697	317022560	80.7967	96.6584	0.186805	0.186805
Astragalus alpinus	drAstAlpi1.hap1.1	Chromosome	766579426	766430826	drAstAlpi1	2	31	99.197	99.312	0.687997	0.802965	747042099	751987856	454098100	457104435	292943999	294883421	67.7664	97.1005	0.166817	0.166817
Astragalus alpinus	drAstAlpi1.hap2.1	Chromosome	749425639	749269439	drAstAlpi1	2	31	99.197	99.312	0.687997	0.802965	747042099	751987856	454098100	457104435	292943999	294883421	67.7664	97.1005	0.166817	0.166817
Astragalus glycyphyllos	drAstGlyc1.1 alternate haplotype	Contig	10096520	10096520	drAstGlyc1	2	31	99.9014	99.9347	0.0653092	0.0986316	717385936	719743724	348215019	349359476	369170917	370384248	74.8785	98.0404	0.132891	0.132891
Astragalus glycyphyllos	drAstGlyc1.1	Chromosome	680278737	680199137	drAstGlyc1	2	31	99.9014	99.9347	0.0653092	0.0986316	717385936	719743724	348215019	349359476	369170917	370384248	74.8785	98.0404	0.132891	0.132891
Atractylocarpus subporodictyon	cbAtrSubp2.1	Chromosome	242991773	242921273	cbAtrSubp2	2	31	99.8082	99.8277	0.172282	0.191815	232582928	232988397	41775675	41848504	190807253	191139893	86.9863	94.6783	0.941389	0.941389
Aulacomnium androgynum	cbAulAndr5.1	Chromosome	236879187	236808787	cbAulAndr5	2	31	99.5435	99.5571	0.442902	0.456456	246631425	246931320	51400945	51463446	195230480	195467874	89.2944	97.166	0.748773	0.748773
Ballota nigra	daBalNigr1.1 alternate haplotype	Contig	382352052	382352052	daBalNigr1	2	31	99.5474	100	0	0.452643	1292530657	1312687255	808305967	820911238	484224690	491776017	64.76	93.4542	0.230326	0.230326
Ballota nigra	daBalNigr1.1	Chromosome	1186790492	1186721092	daBalNigr1	2	31	99.5474	100	0	0.452643	1292530657	1312687255	808305967	820911238	484224690	491776017	64.76	93.4542	0.230326	0.230326
Barbarea vulgaris	ddBarVulg1.1 alternate haplotype	Scaffold	1987127	1986927	ddBarVulg1	2	31	99.9395	99.9646	0.0353904	0.0604807	305423052	306000297	162787867	163095534	142635185	142904763	80.9137	95.9877	0.10825	0.10825
Barbarea vulgaris	ddBarVulg1.1 alternate haplotype	Scaffold	1987127	1986927	ddBarVulg2	2	31	99.9515	99.9722	0.0278383	0.0484614	254985469	255471244	112149596	112363253	142835873	143107991	86.0497	94.6339	0.0995149	0.0995149
Barbarea vulgaris	ddBarVulg1.1	Chromosome	246246791	246090591	ddBarVulg1	2	31	99.9395	99.9646	0.0353904	0.0604807	305423052	306000297	162787867	163095534	142635185	142904763	80.9137	95.9877	0.10825	0.10825
Barbarea vulgaris	ddBarVulg1.1	Chromosome	246246791	246090591	ddBarVulg2	2	31	99.9515	99.9722	0.0278383	0.0484614	254985469	255471244	112149596	112363253	142835873	143107991	86.0497	94.6339	0.0995149	0.0995149
Bazzania tricrenata	cjBazTric3.1	Chromosome	697648202	697636402	cjBazTric3	2	31	92.1435	96.1306	3.86937	7.85647	425628395	427666036	227091845	228179017	198536550	199487018	75.1524	88.0204	0.849564	0.849564
Bellardia viscosa	daBelVisc1.hap1.1	Chromosome	1176560925	1176502925	daBelVisc1	2	31	91.8783	95.1439	4.85609	8.1217	627465891	628339865	382179369	382711692	245286523	245628173	81.7247	91.3426	0.169387	0.169387
Bellardia viscosa	daBelVisc1.hap2.1	Scaffold	1160581060	1160525431	daBelVisc1	2	31	91.8783	95.1439	4.85609	8.1217	627465891	628339865	382179369	382711692	245286523	245628173	81.7247	91.3426	0.169387	0.169387
Bellis perennis	daBelPere1.hap1.1	Chromosome	1602721488	1602662971	daBelPere1	2	31	97.5539	97.6908	2.30925	2.44608	1679856900	1708670503	1243363967	1264690662	436492933	443979841	62.8003	94.8351	0.158252	0.158252
Bellis perennis	daBelPere1.hap2.1	Scaffold	1503204686	1503130786	daBelPere1	2	31	97.5539	97.6908	2.30925	2.44608	1679856900	1708670503	1243363967	1264690662	436492933	443979841	62.8003	94.8351	0.158252	0.158252
Berberis aquifolium	dmBerAqui1.hap1.1	Chromosome	1020928172	1020814347	dmBerAqui1	2	31	99.1072	99.1277	0.872284	0.892781	1050083909	1052455715	408490858	409413509	641593051	643042206	84.0149	98.1538	0.0985414	0.0985414
Berberis aquifolium	dmBerAqui1.hap2.1	Chromosome	1046952764	1046858564	dmBerAqui1	2	31	99.1072	99.1277	0.872284	0.892781	1050083909	1052455715	408490858	409413509	641593051	643042206	84.0149	98.1538	0.0985414	0.0985414
Berberis vulgaris	dmBerVulg1.1 alternate haplotype	Scaffold	898797719	898797519	dmBerVulg1	2	31	99.5192	99.5728	0.42721	0.480778	1379075143	1384901227	669694233	672523444	709380911	712377783	74.5709	97.5044	0.167863	0.167863
Berberis vulgaris	dmBerVulg1.1	Chromosome	1297525870	1297381670	dmBerVulg1	2	31	99.5192	99.5728	0.42721	0.480778	1379075143	1384901227	669694233	672523444	709380911	712377783	74.5709	97.5044	0.167863	0.167863
Betula pendula	dhBetPend1.hap1.1	Chromosome	403466907	403437007	dhBetPend1	2	31	98.5134	98.5315	1.46851	1.48665	425108357	426214779	146425659	146806758	278682698	279408021	85.7293	98.5581	0.153952	0.153952
Betula pendula	dhBetPend1.hap2.1	Scaffold	411736991	411695491	dhBetPend1	2	31	98.5134	98.5315	1.46851	1.48665	425108357	426214779	146425659	146806758	278682698	279408021	85.7293	98.5581	0.153952	0.153952
Blitum bonus henricus	dcBliBonu1.hap1.1	Chromosome	1111067929	1110990929	dcBliBonu1	2	31	99.8579	99.8808	0.119225	0.142122	1236691872	1238536467	626516343	627450827	610175529	611085639	82.885	98.21	0.0833857	0.0833857
Blitum bonus henricus	dcBliBonu1.hap2.1	Scaffold	1106397967	1106323367	dcBliBonu1	2	31	99.8579	99.8808	0.119225	0.142122	1236691872	1238536467	626516343	627450827	610175529	611085639	82.885	98.21	0.0833857	0.0833857
Brachydontium trichodes	cbBraTric1.1	Chromosome	267893195	267818795	cbBraTric1	2	31	99.8755	99.8954	0.104566	0.124518	262210484	262562028	93375662	93500850	168834822	169061178	88.1794	98.5568	0.98966	0.98966
Brachythecium rutabulum	cbBraRuta5.1	Chromosome	824432276	823973476	cbBraRuta5	2	31	94.9611	95.3579	4.64207	5.03894	376034604	383240000	148088113	150925706	227946491	232314293	75.846	91.6338	0.784882	0.784882
Brassica nigra	ddBraNigr2.1 alternate haplotype	Scaffold	332570608	332568408	ddBraNigr2	2	31	98.2259	98.2852	1.71479	1.7741	452384649	458298660	194663353	197208181	257721296	261090479	80.2575	96.0766	0.107203	0.107203
Brassica nigra	ddBraNigr2.1	Chromosome	449197311	448767711	ddBraNigr2	2	31	98.2259	98.2852	1.71479	1.7741	452384649	458298660	194663353	197208181	257721296	261090479	80.2575	96.0766	0.107203	0.107203
Braunia imberbis	cbBraImbe1.1	Chromosome	223502517	223475217	cbBraImbe1	1	31					227019690	227822940	25519329	25609623	201500361	202213318	88.0387	92.8837	1.42176	1.42176
Bromus sterilis	lpBroSter1.1	Chromosome	2677905839	2677883839	lpBroSter1	2	31	99.9178	99.9747	0.0253109	0.0822115	2803491872	2814672178	1886924939	1894449982	916566933	920222195	67.4573	98.3627	0.12194	0.12194
Bromus sterilis	lpBroSter1.1 alternate haplotype	Contig	17921317	17921317	lpBroSter1	2	31	99.9178	99.9747	0.0253109	0.0822115	2803491872	2814672178	1886924939	1894449982	916566933	920222195	67.4573	98.3627	0.12194	0.12194
Bryoerythrophyllum caledonicum	cbBryCale10.1	Chromosome	437454196	437082196	cbBryCale10	1	31					370264649	371618020	141248195	141764478	229016454	229853542	78.5958	93.0987	0.617338	0.617338
Bryoerythrophyllum ferruginascens	cbBryFerr6.1	Chromosome	333831811	333766303	cbBryFerr6	1	31					300227716	301442536	95980955	96369325	204246761	205073210	81.1751	90.0905	0.587555	0.587555
Buddleja davidii	daBudDavi1.hap1.1	Chromosome	651923507	651878690	daBudDavi1	4	31					662229512	669642917	313281447	316788513	348948065	352854405	80.3558	97.3186	0.134017	0.134017
Buddleja davidii	daBudDavi1.hap2.1	Scaffold	1891373252	1891226818	daBudDavi1	4	31					662229512	669642917	313281447	316788513	348948065	352854405	80.3558	97.3186	0.134017	0.134017
Buxus sempervirens	drBuxSemp1.1 alternate haplotype	Scaffold	678963440	678881040	drBuxSemp1	2	31	98.4316	98.5293	1.47072	1.56844	668564401	673652897	333628614	336167888	334935787	337485009	73.9838	97.4337	0.244677	0.244677
Buxus sempervirens	drBuxSemp1.1	Chromosome	676710827	676621399	drBuxSemp1	2	31	98.4316	98.5293	1.47072	1.56844	668564401	673652897	333628614	336167888	334935787	337485009	73.9838	97.4337	0.244677	0.244677
Buxus sempervirens	drBuxSemp1.2	Chromosome	676710827	676621399	drBuxSemp1	2	31	98.4316	98.5293	1.47072	1.56844	668564401	673652897	333628614	336167888	334935787	337485009	73.9838	97.4337	0.244677	0.244677
Buxus sempervirens	drBuxSemp1.3 alternate haplotype	Scaffold	672057149	671981749	drBuxSemp1	2	31	98.4316	98.5293	1.47072	1.56844	668564401	673652897	333628614	336167888	334935787	337485009	73.9838	97.4337	0.244677	0.244677
Buxus sempervirens	drBuxSemp1.3	Chromosome	669501763	669420335	drBuxSemp1	2	31	98.4316	98.5293	1.47072	1.56844	668564401	673652897	333628614	336167888	334935787	337485009	73.9838	97.4337	0.244677	0.244677
Calendula officinalis	daCalOffi1.1 alternate haplotype	Contig	328389665	328389665	daCalOffi1	2	31	85.0868	100	0	14.9132	720562011	722933292	468448625	469990232	252113386	252943060	74.4366	85.7333	0.196316	0.196316
Calendula officinalis	daCalOffi1.1	Chromosome	1215170828	1215113628	daCalOffi1	2	31	85.0868	100	0	14.9132	720562011	722933292	468448625	469990232	252113386	252943060	74.4366	85.7333	0.196316	0.196316
Calliergon cordifolium	cbCalCord2.1	Chromosome	662055563	661910363	cbCalCord2	1	31					652827433	654315449	197559582	198009888	455267851	456305561	85.8941	91.2059	0.490112	0.490112
Calliergon cordifolium	cbCalCord2.2	Chromosome	662055563	661910363	cbCalCord2	1	31					652827433	654315449	197559582	198009888	455267851	456305561	85.8941	91.2059	0.490112	0.490112
Callitriche obtusangula	daCalObtu1.hap1.1	Chromosome	1574495399	1574420599	daCalObtu1	2	31	99.8924	99.935	0.0650365	0.107574	1670141725	1675391512	873871848	876618705	796269877	798772806	74.2588	97.6013	0.287362	0.287362
Callitriche obtusangula	daCalObtu1.hap2.1	Scaffold	1573677980	1573614380	daCalObtu1	2	31	99.8924	99.935	0.0650365	0.107574	1670141725	1675391512	873871848	876618705	796269877	798772806	74.2588	97.6013	0.287362	0.287362
Calluna vulgaris	ddCalVulg4.hap1.1	Chromosome	521826740	521774540	ddCalVulg4	2	31	98.5281	98.5512	1.44878	1.4719	542877983	544171719	240044323	240616374	302833660	303555345	83.3981	96.7865	0.159675	0.159675
Calluna vulgaris	ddCalVulg4.hap2.1	Chromosome	520423034	520366834	ddCalVulg4	2	31	98.5281	98.5512	1.44878	1.4719	542877983	544171719	240044323	240616374	302833660	303555345	83.3981	96.7865	0.159675	0.159675
Calystegia soldanella	daCalSold1.hap1.1	Chromosome	634946867	634598267	daCalSold1	2	31	99.5724	99.5998	0.400164	0.427628	652560543	654972129	349666018	350958234	302894526	304013894	84.3049	98.5336	0.093674	0.093674
Calystegia soldanella	daCalSold1.hap2.1	Scaffold	620390866	620081866	daCalSold1	2	31	99.5724	99.5998	0.400164	0.427628	652560543	654972129	349666018	350958234	302894526	304013894	84.3049	98.5336	0.093674	0.093674
Campylopus flexuosus	cbCamFlex1.1	Chromosome	277957616	277732316	cbCamFlex1	1	31					269880240	271614391	85985707	86538219	183894533	185076172	73.4558	93.4444	2.26678	2.26678
Campylopus introflexus	cbCamIntr1.1	Chromosome	241170858	241000158	cbCamIntr1	2	31	99.6192	99.6468	0.353202	0.380796	216078049	216581175	58085218	58220466	157992832	158360709	82.9641	94.7388	0.524744	0.524744
Cardamine flexuosa	ddCarFlex1.1 alternate haplotype	Contig	4784311	4784311	ddCarFlex1	2	31	99.9812	100	0	0.0187612	229279940	230220309	59538095	59782284	169741845	170438024	86.4288	91.5178	0.115509	0.115509
Cardamine flexuosa	ddCarFlex1.1	Chromosome	204540175	204516775	ddCarFlex1	2	31	99.9812	100	0	0.0187612	229279940	230220309	59538095	59782284	169741845	170438024	86.4288	91.5178	0.115509	0.115509
